,$schema,meta,id,type,namespace,title,comment,timestamp,user,log_id,log_type,log_action,log_params,log_action_comment,server_url,server_name,server_script_path,wiki,parsedcomment,minor,patrolled,length,revision,bot
0,/mediawiki/recentchange/1.0.0,"{'uri': 'https://en.wikipedia.org/wiki/User:41.155.9.82', 'request_id': '3b0f6d02-81bb-4def-bbf4-729ca04eae99', 'id': '5f4547fe-8b39-4118-8ce4-e5402b73d78c', 'dt': '2021-10-06T13:27:35Z', 'domain': 'en.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3347613054}",1430186580.0,log,2,User:41.155.9.82,{{blocked p2p proxy|ip=41.155.9.82|isp=Fixed-Broadband-dynamic}} <!-- API-confirmed P2P VPN -->,1633526855,ST47ProxyBot,122426220.0,block,block,"{'duration': '71 hours', 'flags': 'nocreate', 'sitewide': True}",blocked User:41.155.9.82 (account creation blocked) with an expiry time of 2 days and 23 hours: {{blocked p2p proxy|ip=41.155.9.82|isp=Fixed-Broadband-dynamic}} <!-- API-confirmed P2P VPN -->,https://en.wikipedia.org,en.wikipedia.org,/w,enwiki,{{blocked p2p proxy|ip=41.155.9.82|isp=Fixed-Broadband-dynamic}} &lt;!-- API-confirmed P2P VPN --&gt;,,,,,True
1,/mediawiki/recentchange/1.0.0,"{'uri': 'https://www.wikidata.org/wiki/Q17478814', 'request_id': 'bb6d0810-b603-41fd-9589-9d8b1d94d9f9', 'id': '8cbe0e4a-502b-41b7-9fe2-0c5be60e4b8e', 'dt': '2021-10-06T13:27:34Z', 'domain': 'www.wikidata.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3347613055}",1556012971.0,edit,0,Q17478814,/* wbsetsitelink-add:1|commonswiki */ Category:The Still Alarm (1926 film),1633526854,Deanlaw,,,,,,https://www.wikidata.org,www.wikidata.org,/w,wikidatawiki,"‎<span dir=""auto""><span class=""autocomment"">Added link to [commonswiki]: </span></span> Category:The Still Alarm (1926 film)",False,True,"{'old': 18319, 'new': 18449}","{'old': 1447448374, 'new': 1508596930}",False
2,/mediawiki/recentchange/1.0.0,"{'uri': 'https://en.wikipedia.org/wiki/User:103.108.61.85', 'request_id': 'e88baeac-77f0-4344-ab04-ac86fc60ead5', 'id': 'dac47789-ebbc-440d-aa96-32a3386735b3', 'dt': '2021-10-06T13:27:34Z', 'domain': 'en.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3347613056}",1430186582.0,log,2,User:103.108.61.85,{{blocked p2p proxy|ip=103.108.61.85|isp=INCOMIT SOLUTION}} <!-- API-confirmed P2P VPN -->,1633526854,ST47ProxyBot,122426218.0,block,block,"{'duration': '71 hours', 'flags': 'nocreate', 'sitewide': True}",blocked User:103.108.61.85 (account creation blocked) with an expiry time of 2 days and 23 hours: {{blocked p2p proxy|ip=103.108.61.85|isp=INCOMIT SOLUTION}} <!-- API-confirmed P2P VPN -->,https://en.wikipedia.org,en.wikipedia.org,/w,enwiki,{{blocked p2p proxy|ip=103.108.61.85|isp=INCOMIT SOLUTION}} &lt;!-- API-confirmed P2P VPN --&gt;,,,,,True
3,/mediawiki/recentchange/1.0.0,"{'uri': 'https://www.wikidata.org/wiki/Q3501934', 'request_id': 'c3332b1d-76d6-4a09-9e39-3ce5ae42ffd2', 'id': 'b07b0a83-aa51-4162-9337-6a251a5e1599', 'dt': '2021-10-06T13:27:34Z', 'domain': 'www.wikidata.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3347613057}",1556012972.0,edit,0,Q3501934,"/* wbsetdescription-add:1|yo */ agbábọ́ọ̀lù ọmọ orílẹ èdè Faransé, [[:toollabs:quickstatements/#/batch/66802|batch #66802]]",1633526854,T Cells,,,,,,https://www.wikidata.org,www.wikidata.org,/w,wikidatawiki,"‎<span dir=""auto""><span class=""autocomment"">Added [yo] description: </span></span> agbábọ́ọ̀lù ọmọ orílẹ èdè Faransé, <a href=""https://iw.toolforge.org/quickstatements/#.2Fbatch.2F66802"" class=""extiw"" title=""toollabs:quickstatements/"">batch #66802</a>",False,True,"{'old': 26326, 'new': 26436}","{'old': 1508596926, 'new': 1508596929}",False
4,/mediawiki/recentchange/1.0.0,"{'uri': 'https://www.wikidata.org/wiki/Q38491095', 'request_id': '45c230e5-3573-469a-8640-b4ce0a744669', 'id': '8545986f-b1d7-47eb-bb73-9d435726afc5', 'dt': '2021-10-06T13:27:34Z', 'domain': 'www.wikidata.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3347613058}",1556012973.0,edit,0,Q38491095,"/* wbeditentity-update-languages-short:0||nl */ nl-description, [[User:Edoderoobot/Set-nl-description|python code]] -",1633526854,Edoderoobot,,,,,,https://www.wikidata.org,www.wikidata.org,/w,wikidatawiki,"‎<span dir=""auto""><span class=""autocomment"">Changed label, description and/or aliases in nl: </span></span> nl-description, <a href=""/wiki/User:Edoderoobot/Set-nl-description"" title=""User:Edoderoobot/Set-nl-description"">python code</a> -",False,True,"{'old': 61731, 'new': 61919}","{'old': 1427172934, 'new': 1508596931}",True
5,/mediawiki/recentchange/1.0.0,"{'uri': 'https://commons.wikimedia.org/wiki/File:Arnold_House,_Violet_Lane_-_geograph.org.uk_-_2723811.jpg', 'request_id': '2faa05c4-c8e2-4ec4-8668-afc497a03db4', 'id': '858c0f19-2dca-42f2-9a9a-41e43c4cff04', 'dt': '2021-10-06T13:27:33Z', 'domain': 'commons.wikimedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3347613059}",1784022709.0,edit,6,"File:Arnold House, Violet Lane - geograph.org.uk - 2723811.jpg",/* wbeditentity-update-languages-and-other-short:0||en */ Adding structured data to this newly uploaded geograph.org.uk image,1633526853,GeographBot,,,,,,https://commons.wikimedia.org,commons.wikimedia.org,/w,commonswiki,"‎<span dir=""auto""><span class=""autocomment"">Changed label, description and/or aliases in en, and other parts: </span></span> Adding structured data to this newly uploaded geograph.org.uk image",False,True,"{'old': 72, 'new': 7791}","{'old': 596097076, 'new': 596097097}",True
6,/mediawiki/recentchange/1.0.0,"{'uri': 'https://www.wikidata.org/wiki/Q1769581', 'request_id': '2309b929-76d4-4e9c-b657-bcc1a8288a52', 'id': 'e55e0d5c-daf7-4563-8856-7d37e57713fe', 'dt': '2021-10-06T13:27:34Z', 'domain': 'www.wikidata.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3347613060}",1556012975.0,edit,0,Q1769581,"/* wbsetreference-add:2| */ [[Property:P214]]: 187307263, [[Wikidata:Requests_for_permissions/Bot/Soweego_bot_2|bot task 2]] with extra P887 and catalog ID reference",1633526854,Soweego bot,,,,,,https://www.wikidata.org,www.wikidata.org,/w,wikidatawiki,"‎<span dir=""auto""><span class=""autocomment"">Added reference to claim: </span></span> <a href=""/wiki/Property:P214"" title=""Property:P214"">Property:P214</a>: 187307263, <a href=""/wiki/Wikidata:Requests_for_permissions/Bot/Soweego_bot_2"" title=""Wikidata:Requests for permissions/Bot/Soweego bot 2"">bot task 2</a> with extra P887 and catalog ID reference",False,True,"{'old': 25176, 'new': 26561}","{'old': 1458235046, 'new': 1508596928}",True
7,/mediawiki/recentchange/1.0.0,"{'uri': 'https://www.wikidata.org/wiki/Q108748375', 'request_id': 'a3ea49b0-0549-47a9-a86f-00729768d04e', 'id': '421bbd70-5ecf-45f4-90e4-d4f4f905ce4e', 'dt': '2021-10-06T13:27:34Z', 'domain': 'www.wikidata.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3347613061}",1556012974.0,edit,0,Q108748375,"/* wbsetqualifier-add:1| */ [[Property:P1352]]: 8, #quickstatements; #temporary_batch_1633526795073",1633526854,Repf72,,,,,,https://www.wikidata.org,www.wikidata.org,/w,wikidatawiki,"‎<span dir=""auto""><span class=""autocomment"">Calificativo añadido: </span></span> <a href=""/wiki/Property:P1352"" title=""Property:P1352"">Property:P1352</a>: 8, #quickstatements; #temporary_batch_1633526795073",False,True,"{'old': 17580, 'new': 17844}","{'old': 1508596916, 'new': 1508596927}",False
8,/mediawiki/recentchange/1.0.0,"{'uri': 'https://en.wikipedia.org/wiki/User:109.52.216.153', 'request_id': '2557b7fd-bdc6-4fdd-a953-d39c1b628bef', 'id': 'd7e2e585-e6b6-47c5-8755-707f565022f1', 'dt': '2021-10-06T13:27:34Z', 'domain': 'en.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3347613062}",1430186581.0,log,2,User:109.52.216.153,{{blocked p2p proxy|ip=109.52.216.153|isp=Telecom Italia Mobile}} <!-- API-confirmed P2P VPN -->,1633526854,ST47ProxyBot,122426217.0,block,block,"{'duration': '71 hours', 'flags': 'nocreate', 'sitewide': True}",blocked User:109.52.216.153 (account creation blocked) with an expiry time of 2 days and 23 hours: {{blocked p2p proxy|ip=109.52.216.153|isp=Telecom Italia Mobile}} <!-- API-confirmed P2P VPN -->,https://en.wikipedia.org,en.wikipedia.org,/w,enwiki,{{blocked p2p proxy|ip=109.52.216.153|isp=Telecom Italia Mobile}} &lt;!-- API-confirmed P2P VPN --&gt;,,,,,True
9,/mediawiki/recentchange/1.0.0,"{'uri': 'https://en.wikipedia.org/wiki/User:197.251.159.181', 'request_id': '67459aff-9fcf-495d-a6cd-a6a548e988da', 'id': '3bd53212-cb0c-4080-b679-d8dbff1856e8', 'dt': '2021-10-06T13:27:35Z', 'domain': 'en.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3347613063}",1430186585.0,log,2,User:197.251.159.181,{{blocked p2p proxy|ip=197.251.159.181|isp=Vodafone Ghana ADSL DHCP Pool IP Addresses}} <!-- API-confirmed P2P VPN -->,1633526855,ST47ProxyBot,122426221.0,block,block,"{'duration': '71 hours', 'flags': 'nocreate', 'sitewide': True}",blocked User:197.251.159.181 (account creation blocked) with an expiry time of 2 days and 23 hours: {{blocked p2p proxy|ip=197.251.159.181|isp=Vodafone Ghana ADSL DHCP Pool IP Addresses}} <!-- API-confirmed P2P VPN -->,https://en.wikipedia.org,en.wikipedia.org,/w,enwiki,{{blocked p2p proxy|ip=197.251.159.181|isp=Vodafone Ghana ADSL DHCP Pool IP Addresses}} &lt;!-- API-confirmed P2P VPN --&gt;,,,,,True
10,/mediawiki/recentchange/1.0.0,"{'uri': 'https://en.wikipedia.org/wiki/Maurice_Ager', 'request_id': 'e19826d4-d10d-43aa-872a-be22d42e6330', 'id': 'ceafe281-72a7-4351-b764-ee624afb5b0d', 'dt': '2021-10-06T13:27:31Z', 'domain': 'en.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3347613064}",1430186584.0,edit,0,Maurice Ager,Remove copyright violation from https://ericzuley.wordpress.com/2013/05/14/moe-ager-magic-with-sports-and-music-on-ez-way-broadcasting/,1633526851,Eviolite,,,,,,https://en.wikipedia.org,en.wikipedia.org,/w,enwiki,Remove copyright violation from https://ericzuley.wordpress.com/2013/05/14/moe-ager-magic-with-sports-and-music-on-ez-way-broadcasting/,False,,"{'old': 12658, 'new': 12116}","{'old': 1048487448, 'new': 1048526040}",False
11,/mediawiki/recentchange/1.0.0,"{'uri': 'https://en.wikipedia.org/wiki/Category:Use_mdy_dates_from_October_2021', 'request_id': '1cd4c1c3-bc89-4b8f-a3c6-2c2f7bb832ef', 'id': 'a3f4028e-c086-47b6-93ee-9c4eae6725ac', 'dt': '2021-10-06T13:27:31Z', 'domain': 'en.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3347613065}",1430186583.0,categorize,14,Category:Use mdy dates from October 2021,"[[:Riders of the Sage]] added to category, [[Special:WhatLinksHere/Riders of the Sage|this page is included within other pages]]",1633526851,No Great Shaker,,,,,,https://en.wikipedia.org,en.wikipedia.org,/w,enwiki,"<a href=""/wiki/Riders_of_the_Sage"" title=""Riders of the Sage"">Riders of the Sage</a> added to category, <a href=""/wiki/Special:WhatLinksHere/Riders_of_the_Sage"" title=""Special:WhatLinksHere/Riders of the Sage"">this page is included within other pages</a>",,,,,False
